Host,Interface,"Avg Inbound MB","Max Inbound MB",Time,Status
INTEGRITY,"Interface Intel(R) Gigabit 4P X710/I350 rNDC #2(NIC4): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Gigabit 4P X710/I350 rNDC #2(NIC4): Bits received",13287.84,71656,"2025-04-01 17:30:00",Anomaly
MANAGEENGINEAPP,"Interface Amazon Elastic Network Adapter(Ethernet 3): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
MANAGEENGINEAPP,"Interface Amazon Elastic Network Adapter(Ethernet 3): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
MANAGEENGINEAPP,"Interface Amazon Elastic Network Adapter(Ethernet 3): Bits received",163054.32,18916181,"2025-04-15 09:30:00",Anomaly
INTEGRITY,"Interface Intel(R) Ethernet Converged Network Adapter X710(SLOT 1 Port 1): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet Converged Network Adapter X710(SLOT 1 Port 1): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet Converged Network Adapter X710(SLOT 1 Port 1): Bits received",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Gigabit 4P X710/I350 rNDC(NIC3): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Gigabit 4P X710/I350 rNDC(NIC3): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Gigabit 4P X710/I350 rNDC(NIC3): Bits received",103209.53,2328066,"2025-04-03 17:30:00",Anomaly
INTEGRITY,"Interface Intel(R) Ethernet 10G 4P X710/I350 rNDC(NIC1): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet 10G 4P X710/I350 rNDC(NIC1): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet 10G 4P X710/I350 rNDC(NIC1): Bits received",0.00,0,"2025-04-16 11:30:00",Normal
Checkpoint_firewall_Thane,"Interface LAN2(): Bits received",605872.42,16721824,"2025-04-04 11:30:00",Anomaly
Checkpoint_firewall_Thane,"Interface LAN5(): Bits received",2710.94,37666,"2025-04-05 14:30:00",Anomaly
Checkpoint_firewall_Thane,"Interface lo(): Bits received",143827.04,240878,"2025-04-16 11:30:00",Anomaly
Checkpoint_firewall_Thane,"Interface WAN16(): Bits received",206218.82,5081303,"2025-04-03 10:30:00",Anomaly
Checkpoint_firewall_Thane,"Interface maas_tunnel(): Bits received",1292.91,3500,"2025-04-16 11:30:00",Anomaly
Checkpoint_firewall_Thane,"Interface eth0(): Bits received",851823.08,17431297,"2025-04-04 11:30:00",Anomaly
Checkpoint_firewall_Thane,"Interface eth1(): Bits received",0.00,0,"2025-04-16 11:30:00",Normal
Checkpoint_firewall_Thane,"Interface WAN(): Bits received",3777316.19,47590912,"2025-04-07 10:30:00",Anomaly
